gene,hgnc_id,in_universe,screen_outcome,era_hit
VHLL,HGNC:30666,1,kept,
XAGE1A,HGNC:4111,1,kept,
XAGE1B,HGNC:25400,1,kept,
XAGE2,HGNC:4112,1,kept,
XAGE5,HGNC:30930,1,kept,
XKR3,HGNC:28778,1,kept,
XNDC1N,HGNC:54661,1,kept,
ZFTRAF1,HGNC:17806,1,kept,
ZHX1-C8orf76,HGNC:42975,1,kept,
ZNF121,HGNC:12904,1,kept,
ZNF429,HGNC:20817,1,kept,
ZNF534,HGNC:26337,1,kept,
ZNF587B,HGNC:37142,1,kept,
ZNF594,HGNC:29392,1,kept,
ZNF66,HGNC:13135,1,kept,
ZNF705B,HGNC:32284,1,kept,
ZNF705D,HGNC:33202,1,kept,
ZNF716,HGNC:32458,1,kept,
ZNF724,HGNC:32460,1,kept,
ZNF727,HGNC:22785,1,kept,
ZNF728,HGNC:32463,1,kept,
ZNF729,HGNC:32464,1,kept,
ZNF730,HGNC:32470,1,kept,
ZNF772,HGNC:33106,1,kept,
ZNF783,HGNC:27222,1,kept,
ZNF816-ZNF321P,HGNC:38879,1,kept,
ZNF860,HGNC:34513,1,kept,
ZNF98,HGNC:13174,1,kept,
ZNG1A,HGNC:17134,1,kept,
ZNG1B,HGNC:17907,1,kept,
ZNG1C,HGNC:18519,1,kept,
ZNG1E,HGNC:24584,1,kept,
ZNG1F,HGNC:31978,1,kept,
ZSCAN5C,HGNC:34294,1,kept,
