gene,hgnc_id,in_universe
TMC8,HGNC:20474,1
TNFRSF13B,HGNC:18153,1
TNFRSF13C,HGNC:17755,1
TNFRSF1A,HGNC:11916,1
TNFRSF4,HGNC:11918,1
TNFSF12,HGNC:11927,1
TRAC,HGNC:12029,0
TRAF3,HGNC:12033,1
TRAF3IP2,HGNC:1343,1
TREX1,HGNC:12269,0
TTC7A,HGNC:19750,1
TYK2,HGNC:12440,1
UNC119,HGNC:12565,1
UNC13D,HGNC:23147,1
UNC93B1,HGNC:13481,1
UNG,HGNC:12572,1
USB1,HGNC:25792,1
VPS13B,HGNC:2183,1
VPS45,HGNC:14579,0
WAS,HGNC:12731,1
WIPF1,HGNC:12736,1
XIAP,HGNC:592,1
ZAP70,HGNC:12858,1
ZBTB24,HGNC:21143,1
